start_date,end_date,consolidated_power_consumption_value,updated_date,status
2021-01-04 11:30:00+01:00,2021-01-04 12:00:00+01:00,83354,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 11:00:00+01:00,2021-01-04 11:30:00+01:00,82230,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 10:30:00+01:00,2021-01-04 11:00:00+01:00,81741,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 10:00:00+01:00,2021-01-04 10:30:00+01:00,81419,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 09:30:00+01:00,2021-01-04 10:00:00+01:00,81102,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 09:00:00+01:00,2021-01-04 09:30:00+01:00,80668,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 08:30:00+01:00,2021-01-04 09:00:00+01:00,79930,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 08:00:00+01:00,2021-01-04 08:30:00+01:00,79223,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 07:30:00+01:00,2021-01-04 08:00:00+01:00,77892,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 07:00:00+01:00,2021-01-04 07:30:00+01:00,75639,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 06:30:00+01:00,2021-01-04 07:00:00+01:00,72581,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 06:00:00+01:00,2021-01-04 06:30:00+01:00,69557,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 05:30:00+01:00,2021-01-04 06:00:00+01:00,65865,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 05:00:00+01:00,2021-01-04 05:30:00+01:00,64219,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 04:30:00+01:00,2021-01-04 05:00:00+01:00,62278,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 04:00:00+01:00,2021-01-04 04:30:00+01:00,61910,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 03:30:00+01:00,2021-01-04 04:00:00+01:00,62010,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 03:00:00+01:00,2021-01-04 03:30:00+01:00,62999,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 02:30:00+01:00,2021-01-04 03:00:00+01:00,63850,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 02:00:00+01:00,2021-01-04 02:30:00+01:00,65430,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 01:30:00+01:00,2021-01-04 02:00:00+01:00,65676,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 01:00:00+01:00,2021-01-04 01:30:00+01:00,66016,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 00:30:00+01:00,2021-01-04 01:00:00+01:00,66219,2023-10-23 17:38:58+02:00,FINAL
2021-01-04 00:00:00+01:00,2021-01-04 00:30:00+01:00,68279,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 23:30:00+01:00,2021-01-06 00:00:00+01:00,74578,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 23:00:00+01:00,2021-01-05 23:30:00+01:00,74837,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 22:30:00+01:00,2021-01-05 23:00:00+01:00,75903,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 22:00:00+01:00,2021-01-05 22:30:00+01:00,74145,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 21:30:00+01:00,2021-01-05 22:00:00+01:00,73932,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 21:00:00+01:00,2021-01-05 21:30:00+01:00,75826,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 20:30:00+01:00,2021-01-05 21:00:00+01:00,77814,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 20:00:00+01:00,2021-01-05 20:30:00+01:00,80047,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 19:30:00+01:00,2021-01-05 20:00:00+01:00,82906,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 19:00:00+01:00,2021-01-05 19:30:00+01:00,85104,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 18:30:00+01:00,2021-01-05 19:00:00+01:00,85968,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 18:00:00+01:00,2021-01-05 18:30:00+01:00,85005,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 17:30:00+01:00,2021-01-05 18:00:00+01:00,84139,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 17:00:00+01:00,2021-01-05 17:30:00+01:00,81975,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 16:30:00+01:00,2021-01-05 17:00:00+01:00,80338,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 16:00:00+01:00,2021-01-05 16:30:00+01:00,80162,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 15:30:00+01:00,2021-01-05 16:00:00+01:00,80315,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 15:00:00+01:00,2021-01-05 15:30:00+01:00,80754,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 14:30:00+01:00,2021-01-05 15:00:00+01:00,81028,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 14:00:00+01:00,2021-01-05 14:30:00+01:00,82289,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 13:30:00+01:00,2021-01-05 14:00:00+01:00,83071,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 13:00:00+01:00,2021-01-05 13:30:00+01:00,84259,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 12:30:00+01:00,2021-01-05 13:00:00+01:00,85725,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 12:00:00+01:00,2021-01-05 12:30:00+01:00,85227,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 11:30:00+01:00,2021-01-05 12:00:00+01:00,85224,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 11:00:00+01:00,2021-01-05 11:30:00+01:00,84241,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 10:30:00+01:00,2021-01-05 11:00:00+01:00,83843,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 10:00:00+01:00,2021-01-05 10:30:00+01:00,83681,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 09:30:00+01:00,2021-01-05 10:00:00+01:00,83672,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 09:00:00+01:00,2021-01-05 09:30:00+01:00,83514,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 08:30:00+01:00,2021-01-05 09:00:00+01:00,83476,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 08:00:00+01:00,2021-01-05 08:30:00+01:00,82850,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 07:30:00+01:00,2021-01-05 08:00:00+01:00,81672,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 07:00:00+01:00,2021-01-05 07:30:00+01:00,79445,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 06:30:00+01:00,2021-01-05 07:00:00+01:00,76537,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 06:00:00+01:00,2021-01-05 06:30:00+01:00,73710,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 05:30:00+01:00,2021-01-05 06:00:00+01:00,69887,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 05:00:00+01:00,2021-01-05 05:30:00+01:00,68224,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 04:30:00+01:00,2021-01-05 05:00:00+01:00,66295,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 04:00:00+01:00,2021-01-05 04:30:00+01:00,66085,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 03:30:00+01:00,2021-01-05 04:00:00+01:00,66211,2023-10-23 17:38:58+02:00,FINAL
2021-01-05 03:00:00+01:00,2021-01-05 03:30:00+01:00,67044,2023-10-23 17:38:58+02:00,FINAL
